,model,tpr,fpr,precision,threshold
0,forest,1.0,1.0,0.29459179948898895,0.0
1,forest,1.0,1.0,0.29459179948898895,0.01
2,forest,1.0,1.0,0.29459179948898895,0.02
3,forest,1.0,1.0,0.29459179948898895,0.05
4,forest,1.0,1.0,0.29459179948898895,0.1
5,forest,1.0,1.0,0.29459179948898895,0.2
6,forest,0.011874032008260196,0.005713423310767108,0.46464646464646464,0.3
7,forest,0.0,0.0,,0.5
8,forest,0.0,0.0,,1.0
9,knn,1.0,1.0,0.29459179948898895,0.0
10,knn,0.9148683531233867,0.8213315510327283,0.3174896087143471,0.01
11,knn,0.9148683531233867,0.8213315510327283,0.3174896087143471,0.02
12,knn,0.9148683531233867,0.8213315510327283,0.3174896087143471,0.05
13,knn,0.9148683531233867,0.8213315510327283,0.3174896087143471,0.1
14,knn,0.7257614868353124,0.5779397179940494,0.34401918559122946,0.2
15,knn,0.47377387712958186,0.34101591134491827,0.36716812034888374,0.3
16,knn,0.24620547237996904,0.1623043422017162,0.3878181670326096,0.5
17,knn,0.0005678884873515746,0.00019404079168643007,0.55,1.0
18,tree,1.0,1.0,0.29459179948898895,0.0
19,tree,0.9999483737738771,1.0,0.2945810710103268,0.01
20,tree,0.9999483737738771,1.0,0.2945810710103268,0.02
21,tree,0.9971089313371193,0.9695355957052305,0.3004526857800663,0.05
22,tree,0.9644295302013423,0.8358414902332801,0.32517537293947674,0.1
23,tree,0.8340733092410945,0.6022810573067138,0.3664239867546665,0.2
24,tree,0.6129581827568404,0.38478288991419085,0.39949528936742934,0.3
25,tree,0.04104284976768198,0.018821956793583717,0.4766187050359712,0.5
26,tree,0.0,0.00017248070372127117,0.0,1.0
27,baseline,1.0,1.0,,
28,baseline,1.0,1.0,,
29,baseline,1.0,1.0,,
30,baseline,1.0,1.0,,
31,baseline,1.0,1.0,,
32,baseline,1.0,1.0,,
33,baseline,0.005713423310767108,0.005713423310767108,,
34,baseline,0.0,0.0,,
35,baseline,0.0,0.0,,
36,baseline,1.0,1.0,,
37,baseline,0.8213315510327283,0.8213315510327283,,
38,baseline,0.8213315510327283,0.8213315510327283,,
39,baseline,0.8213315510327283,0.8213315510327283,,
40,baseline,0.8213315510327283,0.8213315510327283,,
41,baseline,0.5779397179940494,0.5779397179940494,,
42,baseline,0.34101591134491827,0.34101591134491827,,
43,baseline,0.1623043422017162,0.1623043422017162,,
44,baseline,0.00019404079168643007,0.00019404079168643007,,
45,baseline,1.0,1.0,,
46,baseline,1.0,1.0,,
47,baseline,1.0,1.0,,
48,baseline,0.9695355957052305,0.9695355957052305,,
49,baseline,0.8358414902332801,0.8358414902332801,,
50,baseline,0.6022810573067138,0.6022810573067138,,
51,baseline,0.38478288991419085,0.38478288991419085,,
52,baseline,0.018821956793583717,0.018821956793583717,,
53,baseline,0.00017248070372127117,0.00017248070372127117,,
