:@computed_region_43wa_7qmu,:@computed_region_6mkv_f3dw,:@computed_region_awaf_s7ux,:@computed_region_bdys_3d7i,:@computed_region_d3ds_rm58,:@computed_region_d9mm_jgwp,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,arrest,beat,block,case_number,community_area,date,description,district,domestic,fbi_code,id,iucr,latitude,location,location_description,longitude,primary_type,updated_on,ward,x_coordinate,y_coordinate,year
23,22216,36,69,143,16,32,26,True,1533,003XX S CICERO AVE,JC201019,25,2019-03-26T23:58:00.000,TO LAND,015,False,26,11635710,1330,41.876581037,"{'type': 'Point', 'coordinates': [-87.745137513, 41.876581037]}",GAS STATION,-87.745137513,CRIMINAL TRESPASS,2019-04-02T16:10:50.000,28,1144438,1898165,2019
46,21184,41,90,75,15,28,29,False,1223,018XX W WASHINGTON BLVD,JC201002,28,2019-03-26T23:50:00.000,TO VEHICLE,012,False,14,11635711,1320,41.883205108,"{'type': 'Point', 'coordinates': [-87.672854196, 41.883205108]}",STREET,-87.672854196,CRIMINAL DAMAGE,2019-04-02T16:10:50.000,27,1164105,1900722,2019
43,21861,30,236,256,10,19,45,False,0512,105XX S INDIANA AVE,JC200998,49,2019-03-26T23:40:00.000,AGGRAVATED: HANDGUN,005,False,04A,11635719,051A,41.702917913,"{'type': 'Point', 'coordinates': [-87.618523918, 41.702917913]}",RESIDENCE,-87.618523918,ASSAULT,2019-04-02T16:10:50.000,9,1179446,1835145,2019
46,4299,41,456,66,16,5,24,False,1112,036XX W AUGUSTA BLVD,JC200991,23,2019-03-26T23:32:00.000,TO VEHICLE,011,True,14,11635727,1320,41.899101884,"{'type': 'Point', 'coordinates': [-87.717176308, 41.899101884]}",STREET,-87.717176308,CRIMINAL DAMAGE,2019-04-02T16:10:50.000,27,1151994,1906425,2019
15,21867,23,6,271,13,58,63,True,0823,064XX S PULASKI RD,JC201010,65,2019-03-26T23:32:00.000,CRIMINAL DEFACEMENT,008,False,14,11635709,1305,41.776177167,"{'type': 'Point', 'coordinates': [-87.72269872, 41.776177167]}",OTHER,-87.72269872,CRIMINAL DAMAGE,2019-04-02T16:10:50.000,13,1150809,1861621,2019
22,21861,45,60,267,10,19,50,False,0522,119XX S PRINCETON AVE,JC201081,53,2019-03-26T23:30:00.000,FROM BUILDING,005,False,06,11635819,0890,41.677155375,"{'type': 'Point', 'coordinates': [-87.629845553, 41.677155375]}",RESIDENCE,-87.629845553,THEFT,2019-04-02T16:10:50.000,34,1176431,1825732,2019
3,22257,44,281,205,17,23,65,True,0726,063XX S DAMEN AVE,JC201040,67,2019-03-26T23:30:00.000,$500 AND UNDER,007,False,06,11635770,0820,41.778868505,"{'type': 'Point', 'coordinates': [-87.673896581, 41.778868505]}",STREET,-87.673896581,THEFT,2019-04-02T16:10:50.000,16,1164113,1862700,2019
25,4449,38,731,28,5,22,57,False,1924,034XX N HALSTED ST,JC203009,6,2019-03-26T23:30:00.000,FORCIBLE ENTRY,019,False,05,11637640,0610,41.944815781,"{'type': 'Point', 'coordinates': [-87.649414002, 41.944815781]}",APARTMENT,-87.649414002,BURGLARY,2019-04-02T16:10:50.000,44,1170309,1923223,2019
43,21861,30,504,219,10,19,50,True,0532,126XX S MICHIGAN AVE,JC201024,53,2019-03-26T23:29:00.000,UNLAWFUL POSS OF HANDGUN,005,False,15,11635788,143A,41.663927193,"{'type': 'Point', 'coordinates': [-87.619976415, 41.663927193]}",STREET,-87.619976415,WEAPONS VIOLATION,2019-04-02T16:10:50.000,9,1179167,1820934,2019
23,22216,36,69,143,16,32,26,True,1113,047XX W JACKSON BLVD,JC200994,25,2019-03-26T23:26:00.000,VIOLATE ORDER OF PROTECTION,011,False,26,11635739,4387,41.876865807,"{'type': 'Point', 'coordinates': [-87.743409103, 41.876865807]}",APARTMENT,-87.743409103,OTHER OFFENSE,2019-04-02T16:10:50.000,28,1144908,1898272,2019
14,21569,36,753,109,21,57,30,False,1012,018XX S KARLOV AVE,JC200986,29,2019-03-26T23:24:00.000,TO PROPERTY,010,True,14,11635707,1310,41.855906242,"{'type': 'Point', 'coordinates': [-87.727274434, 41.855906242]}",APARTMENT,-87.727274434,CRIMINAL DAMAGE,2019-04-02T16:10:50.000,24,1149356,1890665,2019
23,21184,48,756,146,16,28,29,False,1135,004XX S WESTERN AVE,JC200995,28,2019-03-26T23:20:00.000,STRONGARM - NO WEAPON,011,False,03,11635754,0320,41.875229772,"{'type': 'Point', 'coordinates': [-87.686253982, 41.875229772]}",CTA TRAIN,-87.686253982,ROBBERY,2019-04-02T16:10:50.000,28,1160478,1897788,2019
43,21861,30,601,265,10,19,47,True,0531,007XX E 111TH ST,JC200999,50,2019-03-26T23:19:00.000,TO VEHICLE,005,False,26,11635745,1360,41.692833841,"{'type': 'Point', 'coordinates': [-87.60431945, 41.692833841]}",POLICE FACILITY/VEH PARKING LOT,-87.60431945,CRIMINAL TRESPASS,2019-04-02T16:10:50.000,9,1183356,1831503,2019
32,21559,17,511,214,17,11,66,False,0732,073XX S STEWART AVE,JC200989,68,2019-03-26T23:13:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,11635714,0486,41.760743124,"{'type': 'Point', 'coordinates': [-87.63455219, 41.760743124]}",RESIDENTIAL YARD (FRONT/BACK),-87.63455219,BATTERY,2019-04-02T16:10:50.000,6,1174898,1856180,2019
23,21572,11,675,100,16,30,27,False,1132,041XX W JACKSON BLVD,JC200984,26,2019-03-26T23:10:00.000,DOMESTIC BATTERY SIMPLE,011,True,08B,11635787,0486,41.877045902,"{'type': 'Point', 'coordinates': [-87.728962109, 41.877045902]}",SIDEWALK,-87.728962109,BATTERY,2019-04-02T16:10:50.000,28,1148842,1898365,2019
32,21546,31,406,235,20,61,40,True,0631,081XX S WABASH AVE,JC201004,44,2019-03-26T23:05:00.000,POSS: SYNTHETIC DRUGS,006,False,18,11635742,2028,41.746461531,"{'type': 'Point', 'coordinates': [-87.622878199, 41.746461531]}",ALLEY,-87.622878199,NARCOTICS,2019-04-02T16:10:50.000,6,1178126,1851002,2019
48,21194,26,688,157,23,40,58,False,0914,030XX S EMERALD AVE,JC203094,60,2019-03-26T23:00:00.000,$500 AND UNDER,009,False,06,11637726,0820,41.838925434,"{'type': 'Point', 'coordinates': [-87.645085789, 41.838925434]}",RESIDENCE PORCH/HALLWAY,-87.645085789,THEFT,2019-04-02T16:10:50.000,11,1171796,1884646,2019
4,22260,53,164,268,24,60,7,False,0232,059XX S CALUMET AVE,JC201401,40,2019-03-26T23:00:00.000,OTHER VEHICLE OFFENSE,002,True,26,11636367,5002,41.786949846,"{'type': 'Point', 'coordinates': [-87.617407886, 41.786949846]}",STREET,-87.617407886,OTHER OFFENSE,2019-04-02T16:10:50.000,20,1179496,1865768,2019
37,22538,43,246,225,19,24,39,False,0421,077XX S COLFAX AVE,JC200979,43,2019-03-26T23:00:00.000,DOMESTIC BATTERY SIMPLE,004,True,08B,11635768,0486,41.754506665,"{'type': 'Point', 'coordinates': [-87.561438803, 41.754506665]}",APARTMENT,-87.561438803,BATTERY,2019-04-02T16:10:50.000,7,1194866,1854078,2019
29,4448,34,8,44,12,31,75,False,1614,053XX N CUMBERLAND AVE,JC202890,76,2019-03-26T23:00:00.000,TO PROPERTY,016,False,14,11637392,1310,41.975978414,"{'type': 'Point', 'coordinates': [-87.83662354, 41.975978414]}",APARTMENT,-87.83662354,CRIMINAL DAMAGE,2019-04-02T16:10:50.000,41,1119313,1934228,2019
36,4446,22,669,73,14,55,37,True,1831,0000X W HUBBARD ST,JC200981,8,2019-03-26T22:55:00.000,SIMPLE,018,False,08B,11635734,0460,41.890057206,"{'type': 'Point', 'coordinates': [-87.628491342, 41.890057206]}",SIDEWALK,-87.628491342,BATTERY,2019-04-02T16:10:50.000,42,1176165,1903315,2019
9,21192,12,449,107,24,10,4,True,0224,050XX S CALUMET AVE,JC201034,38,2019-03-26T22:51:00.000,SOLICIT ON PUBLIC WAY,002,False,16,11635726,1506,41.803218877,"{'type': 'Point', 'coordinates': [-87.61799702, 41.803218877]}",STREET,-87.61799702,PROSTITUTION,2019-04-02T16:10:50.000,3,1179286,1871695,2019
4,22260,53,332,277,18,60,9,False,0312,063XX S DR MARTIN LUTHER KING JR DR,JC200966,42,2019-03-26T22:35:00.000,STRONGARM - NO WEAPON,003,False,03,11635684,0320,41.779166735,"{'type': 'Point', 'coordinates': [-87.615598974, 41.779166735]}",SIDEWALK,-87.615598974,ROBBERY,2019-04-02T16:10:50.000,20,1180013,1862936,2019
32,21559,17,512,215,17,11,66,True,0733,072XX S PEORIA ST,JC200968,68,2019-03-26T22:30:00.000,AGGRAVATED: HANDGUN,007,True,04A,11635698,051A,41.762724091,"{'type': 'Point', 'coordinates': [-87.64677309, 41.762724091]}",STREET,-87.64677309,ASSAULT,2019-04-02T16:10:50.000,6,1171558,1856875,2019
48,14924,26,172,170,23,37,58,False,0915,006XX W 37TH ST,JC201158,60,2019-03-26T22:30:00.000,TO LAND,009,False,26,11635979,1330,41.827144663,"{'type': 'Point', 'coordinates': [-87.642860117, 41.827144663]}",CHURCH/SYNAGOGUE/PLACE OF WORSHIP,-87.642860117,CRIMINAL TRESPASS,2019-04-02T16:10:50.000,11,1172437,1880358,2019
3,22257,44,275,164,17,23,65,False,0714,060XX S HONORE ST,JC201380,67,2019-03-26T22:29:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,11636114,0486,41.784397344,"{'type': 'Point', 'coordinates': [-87.670400636, 41.784397344]}",RESIDENCE,-87.670400636,BATTERY,2019-04-02T16:10:50.000,15,1165051,1864722,2019
9,14924,12,189,106,23,37,3,False,0925,044XX S SHIELDS AVE,JC200923,37,2019-03-26T22:27:00.000,FIRST DEGREE MURDER,009,False,01A,24449,0110,41.813164917,"{'type': 'Point', 'coordinates': [-87.634620968, 41.813164917]}",STREET,-87.634620968,HOMICIDE,2019-04-02T16:10:50.000,3,1174724,1875282,2019
6,22268,35,336,272,13,7,62,False,0812,068XX W 63RD PL,JC202177,64,2019-03-26T22:27:00.000,TO VEHICLE,008,False,14,11636779,1320,41.776620506,"{'type': 'Point', 'coordinates': [-87.791967137, 41.776620506]}",STREET,-87.791967137,CRIMINAL DAMAGE,2019-04-02T16:10:50.000,23,1131914,1861656,2019
6,21867,23,339,276,13,58,63,True,0823,036XX W 62ND PL,JC200976,65,2019-03-26T22:22:00.000,POSS: CANNABIS MORE THAN 30GMS,008,False,18,11635689,1812,41.77970957,"{'type': 'Point', 'coordinates': [-87.714074925, 41.77970957]}",STREET,-87.714074925,NARCOTICS,2019-04-02T16:10:50.000,23,1153152,1862925,2019
43,21861,30,569,250,10,19,45,True,0511,100XX S LA SALLE ST,JC200988,49,2019-03-26T22:18:00.000,DOMESTIC BATTERY SIMPLE,005,False,08B,11635705,0486,41.711737069,"{'type': 'Point', 'coordinates': [-87.627223513, 41.711737069]}",RESIDENCE,-87.627223513,BATTERY,2019-04-02T16:10:50.000,9,1177044,1838339,2019
39,22616,37,20,4,5,15,31,False,1914,008XX W AGATITE AVE,JC200977,3,2019-03-26T22:17:00.000,AGGRAVATED: HANDGUN,019,False,04B,11635761,041A,41.962732551,"{'type': 'Point', 'coordinates': [-87.651229976, 41.962732551]}",SIDEWALK,-87.651229976,BATTERY,2019-04-02T16:10:50.000,46,1169763,1929748,2019
43,21861,30,254,260,10,19,47,True,0513,007XX E 107TH ST,JC200975,50,2019-03-26T22:15:00.000,TO LAND,005,False,26,11635723,1330,41.699403785,"{'type': 'Point', 'coordinates': [-87.605622083, 41.699403785]}",OTHER,-87.605622083,CRIMINAL TRESPASS,2019-04-02T16:10:50.000,9,1182980,1833894,2019
39,4449,37,726,18,5,53,57,False,1925,037XX N RECREATION DR,JC200985,6,2019-03-26T22:10:00.000,RECKLESS FIREARM DISCHARGE,019,False,15,11635702,1477,41.951506308,"{'type': 'Point', 'coordinates': [-87.64393114, 41.951506308]}",STREET,-87.64393114,WEAPONS VIOLATION,2019-04-02T16:10:50.000,46,1171781,1925673,2019
46,22620,41,522,76,15,49,25,True,1214,007XX N MILWAUKEE AVE,JC200982,24,2019-03-26T22:01:00.000,TO LAND,012,False,26,11635724,1330,41.895295652,"{'type': 'Point', 'coordinates': [-87.653938771, 41.895295652]}",CONSTRUCTION SITE,-87.653938771,CRIMINAL TRESPASS,2019-04-02T16:10:50.000,27,1169221,1905168,2019
21,22254,27,82,177,6,52,19,False,2514,029XX N MASON AVE,JC201007,19,2019-03-26T22:00:00.000,AGGRAVATED OF A SENIOR CITIZEN,025,False,04B,11635751,0495,41.933664033,"{'type': 'Point', 'coordinates': [-87.774834236, 41.933664033]}",APARTMENT,-87.774834236,BATTERY,2019-04-02T16:10:50.000,30,1136215,1918912,2019
48,21194,26,688,157,23,40,58,False,0915,006XX W 31ST ST,JC200958,60,2019-03-26T22:00:00.000,AGGRAVATED,009,False,03,11635746,0330,41.838085292,"{'type': 'Point', 'coordinates': [-87.643190224, 41.838085292]}",GAS STATION,-87.643190224,ROBBERY,2019-04-02T16:10:50.000,11,1172315,1884344,2019
31,21867,44,319,276,13,58,64,False,0823,063XX S WHIPPLE ST,JC200952,66,2019-03-26T22:00:00.000,OVER $500,008,False,06,11635661,0810,41.77857063,"{'type': 'Point', 'coordinates': [-87.69947203, 41.77857063]}",STREET,-87.69947203,THEFT,2019-04-02T16:10:50.000,17,1157138,1862539,2019
35,21202,9,492,246,19,25,44,False,0413,091XX S STONY ISLAND AVE,JC202396,48,2019-03-26T22:00:00.000,NON-AGGRAVATED,004,False,02,11637144,0281,41.728866416,"{'type': 'Point', 'coordinates': [-87.585474026, 41.728866416]}",HOTEL/MOTEL,-87.585474026,CRIM SEXUAL ASSAULT,2019-04-02T16:10:50.000,8,1188389,1844677,2019
46,14917,41,63,92,15,44,29,False,1224,013XX W RANDOLPH ST,JC200967,28,2019-03-26T22:00:00.000,OVER $500,012,False,06,11635660,0810,41.884065948,"{'type': 'Point', 'coordinates': [-87.661354648, 41.884065948]}",STREET,-87.661354648,THEFT,2019-04-02T16:10:50.000,27,1167234,1901060,2019
23,22216,11,696,90,16,32,26,False,1113,047XX W WEST END AVE,JC201073,25,2019-03-26T22:00:00.000,UNLAWFUL ENTRY,011,False,05,11635775,0620,41.883148814,"{'type': 'Point', 'coordinates': [-87.743685488, 41.883148814]}",RESIDENCE-GARAGE,-87.743685488,BURGLARY,2019-04-02T16:10:50.000,28,1144817,1900561,2019
17,22615,7,355,176,6,2,19,False,2521,051XX W DIVERSEY AVE,JC201173,19,2019-03-26T22:00:00.000,OVER $500,025,False,06,11635968,0810,41.931415653,"{'type': 'Point', 'coordinates': [-87.755254862, 41.931415653]}",STREET,-87.755254862,THEFT,2019-04-02T16:10:50.000,31,1141548,1918128,2019
8,22248,35,173,105,13,56,53,False,0815,051XX S KEATING AVE,JC201987,56,2019-03-26T22:00:00.000,$500 AND UNDER,008,False,06,11636565,0820,41.799844709,"{'type': 'Point', 'coordinates': [-87.741724838, 41.799844709]}",STREET,-87.741724838,THEFT,2019-04-02T16:10:50.000,14,1145560,1870209,2019
3,22257,44,345,270,17,23,65,False,0715,055XX S DAMEN AVE,JC201136,67,2019-03-26T22:00:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,11636067,0486,41.793190357,"{'type': 'Point', 'coordinates': [-87.674270532, 41.793190357]}",SIDEWALK,-87.674270532,BATTERY,2019-04-02T16:10:50.000,15,1163971,1867918,2019
43,21861,30,254,260,10,19,47,False,0513,007XX E 107TH ST,JC200970,50,2019-03-26T21:56:00.000,OTHER CRIME AGAINST PERSON,005,False,26,11635750,5000,41.699403785,"{'type': 'Point', 'coordinates': [-87.605622083, 41.699403785]}",COMMERCIAL / BUSINESS OFFICE,-87.605622083,OTHER OFFENSE,2019-04-02T16:10:50.000,9,1182980,1833894,2019
35,22538,9,188,224,19,24,39,False,0411,078XX S CORNELL AVE,JC200927,43,2019-03-26T21:53:00.000,SIMPLE,004,False,08A,11635651,0580,41.752715896,"{'type': 'Point', 'coordinates': [-87.584434962, 41.752715896]}",RESIDENTIAL YARD (FRONT/BACK),-87.584434962,STALKING,2019-04-02T16:10:50.000,8,1188597,1853370,2019
5,21853,46,48,41,11,9,10,True,2432,012XX W ARTHUR AVE,JC200964,1,2019-03-26T21:48:00.000,RECKLESS CONDUCT,024,False,24,11635744,0470,42.000433796,"{'type': 'Point', 'coordinates': [-87.661250078, 42.000433796]}",PARKING LOT/GARAGE(NON.RESID.),-87.661250078,PUBLIC PEACE VIOLATION,2019-04-02T16:10:50.000,49,1166930,1943465,2019
16,4451,40,536,50,11,14,76,False,2433,061XX N CLARK ST,JC201539,77,2019-03-26T21:45:00.000,FROM BUILDING,024,False,06,11636176,0890,41.993276382,"{'type': 'Point', 'coordinates': [-87.670117213, 41.993276382]}",OTHER,-87.670117213,THEFT,2019-04-02T16:10:50.000,40,1164540,1940838,2019
