,model,tpr,fpr,precision,threshold
0,forest,1.0,1.0,0.2785778004332866,0.0
1,forest,1.0,0.9998233527645293,0.2786133061432577,0.01
2,forest,1.0,0.9996467055290584,0.27864882090503507,0.02
3,forest,1.0,0.999293411058117,0.278719877597858,0.05
4,forest,1.0,0.9985868221162338,0.27886209975762216,0.1
5,forest,0.9997712717291857,0.9972619678502032,0.2790831311454476,0.2
6,forest,1.0,0.9957604663487016,0.279432442796881,0.3
7,forest,0.9995425434583715,0.9931990814343755,0.2798591098302914,0.5
8,forest,0.9995425434583715,0.9917859035506095,0.2801461632155907,0.6
9,forest,0.9997712717291857,0.9903727256668433,0.2804799794661191,0.7
10,forest,0.9990850869167429,0.9878113407525172,0.2808641975308642,0.9
11,forest,0.9988563586459286,0.9865748101042219,0.28107099182596385,1.0
12,knn,1.0,1.0,0.2785778004332866,0.0
13,knn,1.0,1.0,0.2785778004332866,0.01
14,knn,1.0,1.0,0.2785778004332866,0.02
15,knn,1.0,1.0,0.2785778004332866,0.05
16,knn,1.0,1.0,0.2785778004332866,0.1
17,knn,1.0,1.0,0.2785778004332866,0.2
18,knn,1.0,1.0,0.2785778004332866,0.3
19,knn,1.0,1.0,0.2785778004332866,0.5
20,knn,1.0,1.0,0.2785778004332866,0.6
21,knn,1.0,1.0,0.2785778004332866,0.7
22,knn,1.0,1.0,0.2785778004332866,0.9
23,knn,1.0,1.0,0.2785778004332866,1.0
24,logit,1.0,1.0,0.2785778004332866,0.0
25,logit,1.0,0.9998233527645293,0.2786133061432577,0.01
26,logit,1.0,0.9996467055290584,0.27864882090503507,0.02
27,logit,1.0,0.999293411058117,0.278719877597858,0.05
28,logit,1.0,0.9985868221162338,0.27886209975762216,0.1
29,logit,0.9997712717291857,0.9972619678502032,0.2790831311454476,0.2
30,logit,0.9993138151875571,0.9960254372019078,0.27924070049853,0.3
31,logit,0.9986276303751144,0.9935523759053171,0.27960294588536666,0.5
32,logit,0.9986276303751144,0.9921391980215509,0.2798897365215719,0.6
33,logit,0.9972552607502287,0.9913442854619325,0.2797741273100616,0.7
34,logit,0.9963403476669717,0.9888712241653418,0.2800925925925926,0.9
35,logit,0.9956541628545288,0.9878113407525172,0.28016991697238847,1.0
36,tree,1.0,1.0,0.2785778004332866,0.0
37,tree,1.0,1.0,0.2785778004332866,0.01
38,tree,1.0,1.0,0.2785778004332866,0.02
39,tree,1.0,1.0,0.2785778004332866,0.05
40,tree,1.0,1.0,0.2785778004332866,0.1
41,tree,1.0,1.0,0.2785778004332866,0.2
42,tree,0.9986276303751144,0.9966437025260555,0.2789776357827476,0.3
43,tree,0.9986276303751144,0.9966437025260555,0.2789776357827476,0.5
44,tree,0.9986276303751144,0.9966437025260555,0.2789776357827476,0.6
45,tree,0.9986276303751144,0.9966437025260555,0.2789776357827476,0.7
46,tree,0.9961116193961573,0.990284402049108,0.2797584634162009,0.9
47,tree,0.9961116193961573,0.990284402049108,0.2797584634162009,1.0
48,baseline,1.0,1.0,,
49,baseline,0.9998233527645293,0.9998233527645293,,
50,baseline,0.9996467055290584,0.9996467055290584,,
51,baseline,0.999293411058117,0.999293411058117,,
52,baseline,0.9985868221162338,0.9985868221162338,,
53,baseline,0.9972619678502032,0.9972619678502032,,
54,baseline,0.9957604663487016,0.9957604663487016,,
55,baseline,0.9931990814343755,0.9931990814343755,,
56,baseline,0.9917859035506095,0.9917859035506095,,
57,baseline,0.9903727256668433,0.9903727256668433,,
58,baseline,0.9878113407525172,0.9878113407525172,,
59,baseline,0.9865748101042219,0.9865748101042219,,
60,baseline,1.0,1.0,,
61,baseline,1.0,1.0,,
62,baseline,1.0,1.0,,
63,baseline,1.0,1.0,,
64,baseline,1.0,1.0,,
65,baseline,1.0,1.0,,
66,baseline,1.0,1.0,,
67,baseline,1.0,1.0,,
68,baseline,1.0,1.0,,
69,baseline,1.0,1.0,,
70,baseline,1.0,1.0,,
71,baseline,1.0,1.0,,
72,baseline,1.0,1.0,,
73,baseline,0.9998233527645293,0.9998233527645293,,
74,baseline,0.9996467055290584,0.9996467055290584,,
75,baseline,0.999293411058117,0.999293411058117,,
76,baseline,0.9985868221162338,0.9985868221162338,,
77,baseline,0.9972619678502032,0.9972619678502032,,
78,baseline,0.9960254372019078,0.9960254372019078,,
79,baseline,0.9935523759053171,0.9935523759053171,,
80,baseline,0.9921391980215509,0.9921391980215509,,
81,baseline,0.9913442854619325,0.9913442854619325,,
82,baseline,0.9888712241653418,0.9888712241653418,,
83,baseline,0.9878113407525172,0.9878113407525172,,
84,baseline,1.0,1.0,,
85,baseline,1.0,1.0,,
86,baseline,1.0,1.0,,
87,baseline,1.0,1.0,,
88,baseline,1.0,1.0,,
89,baseline,1.0,1.0,,
90,baseline,0.9966437025260555,0.9966437025260555,,
91,baseline,0.9966437025260555,0.9966437025260555,,
92,baseline,0.9966437025260555,0.9966437025260555,,
93,baseline,0.9966437025260555,0.9966437025260555,,
94,baseline,0.990284402049108,0.990284402049108,,
95,baseline,0.990284402049108,0.990284402049108,,
