,model,tpr,fpr,precision,threshold
0,bagging,1.0,1.0,0.24883345689241637,0.0
1,bagging,0.9945671223273747,0.9908853410740203,0.24952732708965397,1.0
2,bagging,0.9898352611286365,0.977010159651669,0.25127908528718246,2.0
3,bagging,0.9665264633718892,0.9453701015965167,0.25299325657140237,5.0
4,bagging,0.9348054679284963,0.8981132075471698,0.25639300134589504,10.0
5,bagging,0.8461268839817736,0.7847895500725689,0.26316363239943313,20.0
6,bagging,0.7732211706975114,0.7006095791001451,0.2677184466019418,30.0
7,bagging,0.5760602874167543,0.4816835994194485,0.28375345303867405,50.0
8,bagging,0.478093235191027,0.3756168359941945,0.29658621439443356,60.0
9,bagging,0.374167542937259,0.2762844702467344,0.3096895851465042,70.0
10,bagging,0.14353312302839116,0.08563134978229318,0.35701830863121187,90.0
11,bagging,0.0001752541184717841,0.00029027576197387516,0.16666666666666666,100.0
12,forest,1.0,1.0,0.24883345689241637,0.0
13,forest,0.9982474588152822,0.9872278664731495,0.2509140566494868,1.0
14,forest,0.9970206799859797,0.9743396226415094,0.2531594873620506,2.0
15,forest,0.9879074658254469,0.9374165457184325,0.2587679030481087,5.0
16,forest,0.9751139151770066,0.8751233671988389,0.26959976741932357,10.0
17,forest,0.9232386961093586,0.7591872278664732,0.2871627146361406,20.0
18,forest,0.8548895899053628,0.6487082728592163,0.30388736606030403,30.0
19,forest,0.6668419207851385,0.44476052249637155,0.33185068899354614,50.0
20,forest,0.555205047318612,0.3486211901306241,0.345361386678295,60.0
21,forest,0.4274447949526814,0.25782293178519594,0.35450581395348835,70.0
22,forest,0.15913073957237994,0.0804644412191582,0.3958151700087184,90.0
23,forest,0.0,5.8055152394775034e-05,0.0,100.0
24,svm,1.0,1.0,0.24883345689241637,0.0
25,svm,0.9956186470382054,0.9880986937590711,0.2502532928064843,1.0
26,svm,0.9896600070101648,0.97677793904209,0.25129049483802063,2.0
27,svm,0.9740623904661759,0.9420029027576198,0.2551413881748072,5.0
28,svm,0.9444444444444444,0.8852830188679245,0.26112026359143325,10.0
29,svm,0.8760953382404486,0.7748040638606676,0.27249931861542653,20.0
30,svm,0.7951279355064844,0.6685050798258345,0.28264390730127087,30.0
31,svm,0.6121626358219419,0.4628737300435414,0.3046398046398046,50.0
32,svm,0.5068349106203995,0.364644412191582,0.3152730840510193,60.0
33,svm,0.3990536277602524,0.2672278664731495,0.3309593023255814,70.0
34,svm,0.14651244304241148,0.084644412191582,0.3644289450741064,90.0
35,svm,0.0001752541184717841,0.0,1.0,100.0
36,knn,1.0,1.0,0.24883345689241637,0.0
37,knn,1.0,1.0,0.24883345689241637,1.0
38,knn,1.0,1.0,0.24883345689241637,2.0
39,knn,0.9915878023133544,0.9750943396226415,0.2519818295181259,5.0
40,knn,0.9658254468980021,0.9097822931785196,0.260173732414314,10.0
41,knn,0.908342096039257,0.8069085631349783,0.2716172308982287,20.0
42,knn,0.8116018226428321,0.6735558780841799,0.28528306536068504,30.0
43,knn,0.6847178408692605,0.5297532656023222,0.29980049109883367,50.0
44,knn,0.5282159130739572,0.3918722786647315,0.30868496517820565,60.0
45,knn,0.5282159130739572,0.3918722786647315,0.30868496517820565,70.0
46,knn,0.2227479845776376,0.146066763425254,0.33562186427251123,90.0
47,knn,0.0,5.8055152394775034e-05,0.0,100.0
48,logit,1.0,1.0,0.24883345689241637,0.0
49,logit,0.9963196635120926,0.987866473149492,0.25042949649795165,1.0
50,logit,0.9919383105502979,0.9760232220609579,0.2518689925240299,2.0
51,logit,0.9784437434279706,0.9405515239477503,0.25628901946382665,5.0
52,logit,0.9540834209603926,0.8820899854862119,0.2637852505087702,10.0
53,logit,0.8955485453908166,0.7683599419448476,0.2785500136276915,20.0
54,logit,0.8217665615141956,0.6596806966618287,0.2921131323199601,30.0
55,logit,0.6473887136347705,0.4512046444121916,0.32216989359846504,50.0
56,logit,0.5464423413950228,0.35152394775036283,0.33991060721683203,60.0
57,logit,0.4284963196635121,0.2574746008708273,0.3553779069767442,70.0
58,logit,0.1642131090080617,0.07878084179970972,0.4084568439407149,90.0
59,logit,0.0,5.8055152394775034e-05,0.0,100.0
60,tree,1.0,1.0,0.24883345689241637,0.0
61,tree,1.0,1.0,0.24883345689241637,1.0
62,tree,1.0,1.0,0.24883345689241637,2.0
63,tree,1.0,1.0,0.24883345689241637,5.0
64,tree,0.9495268138801262,0.8840638606676342,0.26242371403661724,10.0
65,tree,0.8948475289169295,0.7814804063860668,0.2750040394247859,20.0
66,tree,0.8305292674377848,0.6582873730043541,0.2947505908695111,30.0
67,tree,0.6789344549596915,0.4877213352685051,0.3156008146639511,50.0
68,tree,0.5236593059936908,0.3616255442670537,0.3241835738309645,60.0
69,tree,0.43603224675779884,0.28748911465892596,0.33440860215053764,70.0
70,tree,0.13897651594812477,0.09248185776487663,0.33235540653813916,90.0
71,tree,0.016999649491763056,0.01764876632801161,0.24189526184538654,100.0
72,baseline,1.0,1.0,,
73,baseline,0.9908853410740203,0.9908853410740203,,
74,baseline,0.977010159651669,0.977010159651669,,
75,baseline,0.9453701015965167,0.9453701015965167,,
76,baseline,0.8981132075471698,0.8981132075471698,,
77,baseline,0.7847895500725689,0.7847895500725689,,
78,baseline,0.7006095791001451,0.7006095791001451,,
79,baseline,0.4816835994194485,0.4816835994194485,,
80,baseline,0.3756168359941945,0.3756168359941945,,
81,baseline,0.2762844702467344,0.2762844702467344,,
82,baseline,0.08563134978229318,0.08563134978229318,,
83,baseline,0.00029027576197387516,0.00029027576197387516,,
84,baseline,1.0,1.0,,
85,baseline,0.9872278664731495,0.9872278664731495,,
86,baseline,0.9743396226415094,0.9743396226415094,,
87,baseline,0.9374165457184325,0.9374165457184325,,
88,baseline,0.8751233671988389,0.8751233671988389,,
89,baseline,0.7591872278664732,0.7591872278664732,,
90,baseline,0.6487082728592163,0.6487082728592163,,
91,baseline,0.44476052249637155,0.44476052249637155,,
92,baseline,0.3486211901306241,0.3486211901306241,,
93,baseline,0.25782293178519594,0.25782293178519594,,
94,baseline,0.0804644412191582,0.0804644412191582,,
95,baseline,5.8055152394775034e-05,5.8055152394775034e-05,,
96,baseline,1.0,1.0,,
97,baseline,0.9880986937590711,0.9880986937590711,,
98,baseline,0.97677793904209,0.97677793904209,,
99,baseline,0.9420029027576198,0.9420029027576198,,
100,baseline,0.8852830188679245,0.8852830188679245,,
101,baseline,0.7748040638606676,0.7748040638606676,,
