,model,tpr,fpr,precision,threshold
0,bagging,1.0,1.0,0.2988428417653391,0.0
1,bagging,1.0,1.0,0.2988428417653391,1.0
2,bagging,1.0,1.0,0.2988428417653391,2.0
3,bagging,1.0,1.0,0.2988428417653391,5.0
4,bagging,0.9423683025664116,0.8856265592016888,0.312015503875969,10.0
5,bagging,0.8908149482215219,0.7612742275954711,0.33277268522411907,20.0
6,bagging,0.794912201710941,0.6613893686432547,0.33873752877973906,30.0
7,bagging,0.6082845565060784,0.45413548263289194,0.36341627437794216,50.0
8,bagging,0.534894191805493,0.38629821531375935,0.3711340206185567,60.0
9,bagging,0.3968932913102206,0.2599309153713299,0.3942307692307692,70.0
10,bagging,0.1474561008554705,0.07983112646325081,0.44048419636852726,90.0
11,bagging,0.0,9.595087315294569e-05,0.0,100.0
12,boosted,1.0,1.0,0.2988428417653391,0.0
13,boosted,0.9981990094552003,0.9864709268854347,0.3013251783893986,1.0
14,boosted,0.9952723998199009,0.973421608136634,0.30351503501304405,2.0
15,boosted,0.9876181900045025,0.9338898483976205,0.31069405099150144,5.0
16,boosted,0.9628545700135074,0.8731529456918058,0.3197278911564626,10.0
17,boosted,0.9074741107609186,0.7541738629821532,0.3389958792363973,20.0
18,boosted,0.8397118415128321,0.6404720782959125,0.3584814992791927,30.0
19,boosted,0.6425033768572715,0.4392630972941854,0.38401506996770723,50.0
20,boosted,0.5324178298063935,0.34360007676069854,0.3977463841237807,60.0
21,boosted,0.4070238631247186,0.254365764728459,0.4054720789414667,70.0
22,boosted,0.13665015758667268,0.08443676837459221,0.4082044384667115,90.0
23,boosted,0.00022512381809995497,0.0,1.0,100.0
24,forest,1.0,1.0,0.2988428417653391,0.0
25,forest,0.9988743809095002,0.9861830742659758,0.3015290519877676,1.0
26,forest,0.9975236380009005,0.9724620994051046,0.30420156528902925,2.0
27,forest,0.9903196758217019,0.9327384379197851,0.31154390934844195,5.0
28,forest,0.975461503827105,0.8677796967952408,0.3239141810570382,10.0
29,forest,0.9263845114813147,0.7461139896373057,0.34606004541249685,20.0
30,forest,0.8728050427735254,0.6263672999424295,0.3726093224411341,30.0
31,forest,0.7012606933813598,0.41421991940126657,0.41913347685683533,50.0
32,forest,0.5778928410625844,0.3242180003838035,0.4317188025563404,60.0
33,forest,0.4567762269248086,0.23316062176165803,0.45503476115721014,70.0
34,forest,0.17312021611886538,0.06889272692381501,0.5171486213853396,90.0
35,forest,0.00022512381809995497,0.0,1.0,100.0
36,svm,1.0,1.0,0.2988428417653391,0.0
37,svm,0.9963980189104007,0.9872385338706582,0.30078151546041454,1.0
38,svm,0.9921206663665015,0.9747649203607753,0.3025538926266648,2.0
39,svm,0.9808644754615038,0.9367683745922087,0.30856940509915015,5.0
40,svm,0.9524988743809095,0.8775666858568413,0.3162891530238469,10.0
41,svm,0.8858622242233228,0.7633851468048359,0.33092254646371205,20.0
42,svm,0.8066186402521387,0.6545768566493955,0.3443536761172513,30.0
43,svm,0.6213417379558758,0.44828247937056226,0.3713670613562971,50.0
44,svm,0.5213867627194957,0.34830166954519287,0.3895055499495459,60.0
45,svm,0.410175596578118,0.25302245250431776,0.4086117963668984,70.0
46,svm,0.15308419630796938,0.07743235463442717,0.45729657027572296,90.0
47,svm,0.00022512381809995497,0.0,1.0,100.0
48,knn,1.0,1.0,0.2988428417653391,0.0
49,knn,1.0,1.0,0.2988428417653391,1.0
50,knn,1.0,1.0,0.2988428417653391,2.0
51,knn,0.9860423232778028,0.9519286125503742,0.30627228865114325,5.0
52,knn,0.9860423232778028,0.9519286125503742,0.30627228865114325,10.0
53,knn,0.9407924358397118,0.8540587219343696,0.3194954128440367,20.0
54,knn,0.8687528140477262,0.7253886010362695,0.3379455293808565,30.0
55,knn,0.74988743809095,0.5798311264632509,0.355344570087476,50.0
56,knn,0.6064835659612787,0.434657455382844,0.3729235880398671,60.0
57,knn,0.4369653309320126,0.2925542122433314,0.38897795591182366,70.0
58,knn,0.16546600630346692,0.10065246593744002,0.41199551569506726,90.0
59,knn,0.0006753714542998649,0.0005757052389176742,0.3333333333333333,100.0
60,logit,1.0,1.0,0.2988428417653391,0.0
61,logit,0.9979738856371004,0.9865668777585876,0.3012572205232756,1.0
62,logit,0.9954975236380009,0.9733256572634811,0.3035836880406426,2.0
63,logit,0.9826654660063034,0.9360007676069853,0.30913597733711046,5.0
64,logit,0.9590274651058082,0.8747841105354058,0.3184570531509307,10.0
65,logit,0.8964430436740207,0.7588754557666475,0.3348751156336725,20.0
66,logit,0.8284556506078343,0.6452696219535597,0.3536761172513215,30.0
67,logit,0.644754615038271,0.43830358856265594,0.38536060279870826,50.0
68,logit,0.539846915803692,0.3404336979466513,0.4032963336696939,60.0
69,logit,0.42976136875281407,0.24467472654001152,0.42812289751065263,70.0
70,logit,0.16546600630346692,0.07215505661101516,0.49428379287155344,90.0
71,logit,0.00022512381809995497,0.0,1.0,100.0
72,tree,1.0,1.0,0.2988428417653391,0.0
73,tree,1.0,1.0,0.2988428417653391,1.0
74,tree,1.0,1.0,0.2988428417653391,2.0
75,tree,0.9774876181900045,0.9499136442141624,0.3048729111079905,5.0
76,tree,0.9585772174696083,0.8751679140280176,0.31825995963823905,10.0
77,tree,0.9079243583971184,0.756188831318365,0.3385093167701863,20.0
78,tree,0.834759117514633,0.6432546536173479,0.3561275451402228,30.0
79,tree,0.6940567312021612,0.45221646516983305,0.39545920985120575,50.0
80,tree,0.5646105357946871,0.3313183649971215,0.4207347760442879,60.0
81,tree,0.5515533543448897,0.3160621761658031,0.42653203342618384,70.0
82,tree,0.15533543448896894,0.07656879677605066,0.4637096774193548,90.0
83,tree,0.010355695632597929,0.008827480330071004,0.3333333333333333,100.0
84,baseline,1.0,1.0,,
85,baseline,1.0,1.0,,
86,baseline,1.0,1.0,,
87,baseline,1.0,1.0,,
88,baseline,0.8856265592016888,0.8856265592016888,,
89,baseline,0.7612742275954711,0.7612742275954711,,
90,baseline,0.6613893686432547,0.6613893686432547,,
