Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_A01001A_001,SE_A01001A_002,SE_A01001A_003,SE_A01001A_004,SE_A01001A_005,SE_A01001A_006,SE_A01001A_007,SE_A01001A_008,SE_A01001A_009,SE_A01001A_010,SE_A01001A_011,SE_A01001A_012,SE_A10003_001,SE_A14010_001,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003
17031010100,14000US17031010100,"Census Tract 101, Cook County, Illinois","Census Tract 101, Cook County, Illinois",il,140,0,ACSSF,5866,17,31,10100,4444,400,750,897,911,1310,2264,2945,3417,4212,4385,4411,1.91,60272,893,563,330
17031010201,14000US17031010201,"Census Tract 102.01, Cook County, Illinois","Census Tract 102.01, Cook County, Illinois",il,140,0,ACSSF,5867,17,31,10201,7197,564,1140,1495,1691,2099,3618,4919,5873,6724,6938,7140,2.62,43173,1685,873,812
17031010202,14000US17031010202,"Census Tract 102.02, Cook County, Illinois","Census Tract 102.02, Cook County, Illinois",il,140,0,ACSSF,5868,17,31,10202,2487,201,306,385,429,692,1148,1426,1685,2134,2341,2434,2.23,46507,395,60,335
17031010300,14000US17031010300,"Census Tract 103, Cook County, Illinois","Census Tract 103, Cook County, Illinois",il,140,0,ACSSF,5869,17,31,10300,6413,374,553,682,804,1236,2295,3480,4529,5252,5840,6156,1.82,52057,767,214,553
17031010400,14000US17031010400,"Census Tract 104, Cook County, Illinois","Census Tract 104, Cook County, Illinois",il,140,0,ACSSF,5870,17,31,10400,5411,189,444,628,723,2825,3600,4202,4675,5072,5364,5377,2.07,54943,684,41,643
17031010501,14000US17031010501,"Census Tract 105.01, Cook County, Illinois","Census Tract 105.01, Cook County, Illinois",il,140,0,ACSSF,5871,17,31,10501,4081,268,383,435,472,942,1981,2690,3290,3654,3849,4003,1.73,42115,464,17,447
17031010502,14000US17031010502,"Census Tract 105.02, Cook County, Illinois","Census Tract 105.02, Cook County, Illinois",il,140,0,ACSSF,5872,17,31,10502,2631,57,100,198,219,783,1447,1933,2255,2470,2602,2609,1.73,43100,204,59,145
17031010503,14000US17031010503,"Census Tract 105.03, Cook County, Illinois","Census Tract 105.03, Cook County, Illinois",il,140,0,ACSSF,5873,17,31,10503,2047,80,123,142,142,678,1062,1232,1319,1452,1767,1968,1.93,,142,66,76
17031010600,14000US17031010600,"Census Tract 106, Cook County, Illinois","Census Tract 106, Cook County, Illinois",il,140,0,ACSSF,5874,17,31,10600,6515,288,640,892,924,1845,3595,4584,5471,6140,6417,6456,2.12,71297,924,297,627
17031010701,14000US17031010701,"Census Tract 107.01, Cook County, Illinois","Census Tract 107.01, Cook County, Illinois",il,140,0,ACSSF,5875,17,31,10701,3833,319,662,786,930,1140,1898,2542,3109,3457,3598,3824,2.51,69821,930,308,622
17031010702,14000US17031010702,"Census Tract 107.02, Cook County, Illinois","Census Tract 107.02, Cook County, Illinois",il,140,0,ACSSF,5876,17,31,10702,5333,233,755,1249,1435,1969,3175,4200,4866,5205,5285,5333,2.56,43786,1430,677,753
17031020100,14000US17031020100,"Census Tract 201, Cook County, Illinois","Census Tract 201, Cook County, Illinois",il,140,0,ACSSF,5877,17,31,20100,4208,348,578,841,971,1401,1948,2525,3117,3817,4035,4208,2.9,47459,971,323,648
17031020200,14000US17031020200,"Census Tract 202, Cook County, Illinois","Census Tract 202, Cook County, Illinois",il,140,0,ACSSF,5878,17,31,20200,6905,797,1141,1752,2190,2497,3445,4301,5327,6005,6576,6825,3.15,88518,2190,255,1935
17031020301,14000US17031020301,"Census Tract 203.01, Cook County, Illinois","Census Tract 203.01, Cook County, Illinois",il,140,0,ACSSF,5879,17,31,20301,5295,546,1043,1377,1605,1789,2397,2935,3472,3950,4516,4926,2.66,72111,1591,119,1472
17031020302,14000US17031020302,"Census Tract 203.02, Cook County, Illinois","Census Tract 203.02, Cook County, Illinois",il,140,0,ACSSF,5880,17,31,20302,5023,369,829,1070,1253,1653,2201,3103,3763,4272,4729,4887,2.71,86563,1228,175,1053
17031020400,14000US17031020400,"Census Tract 204, Cook County, Illinois","Census Tract 204, Cook County, Illinois",il,140,0,ACSSF,5881,17,31,20400,4551,266,647,951,1090,1465,2031,2731,3337,3961,4256,4399,2.6,58621,1090,354,736
17031020500,14000US17031020500,"Census Tract 205, Cook County, Illinois","Census Tract 205, Cook County, Illinois",il,140,0,ACSSF,5882,17,31,20500,6545,553,956,1282,1388,1927,3515,4324,5174,5686,6005,6421,2.94,41694,1388,710,678
17031020601,14000US17031020601,"Census Tract 206.01, Cook County, Illinois","Census Tract 206.01, Cook County, Illinois",il,140,0,ACSSF,5883,17,31,20601,6130,537,1009,1382,1700,2261,2885,3885,4477,5248,5853,6086,3.07,49214,1700,736,964
17031020602,14000US17031020602,"Census Tract 206.02, Cook County, Illinois","Census Tract 206.02, Cook County, Illinois",il,140,0,ACSSF,5884,17,31,20602,4637,482,840,1149,1323,1607,2488,3023,3532,4041,4512,4614,3.33,46897,1298,521,777
17031020701,14000US17031020701,"Census Tract 207.01, Cook County, Illinois","Census Tract 207.01, Cook County, Illinois",il,140,0,ACSSF,5885,17,31,20701,1729,128,225,367,413,506,748,1008,1205,1468,1607,1694,2.81,103125,413,32,381
17031020702,14000US17031020702,"Census Tract 207.02, Cook County, Illinois","Census Tract 207.02, Cook County, Illinois",il,140,0,ACSSF,5886,17,31,20702,7843,531,1322,1844,2012,2845,4275,5277,5845,6993,7473,7759,3.3,51492,2012,772,1240
17031020801,14000US17031020801,"Census Tract 208.01, Cook County, Illinois","Census Tract 208.01, Cook County, Illinois",il,140,0,ACSSF,5887,17,31,20801,5211,203,494,880,1037,1459,2400,3148,3893,4432,4834,5076,2.6,51862,1037,297,740
17031020802,14000US17031020802,"Census Tract 208.02, Cook County, Illinois","Census Tract 208.02, Cook County, Illinois",il,140,0,ACSSF,5888,17,31,20802,7857,426,979,1450,1735,2533,4017,5353,6258,7295,7596,7811,3.52,47259,1701,744,957
17031020901,14000US17031020901,"Census Tract 209.01, Cook County, Illinois","Census Tract 209.01, Cook County, Illinois",il,140,0,ACSSF,5889,17,31,20901,5807,485,876,1319,1573,2062,3367,4229,4952,5491,5740,5782,3.04,40779,1555,688,867
17031020902,14000US17031020902,"Census Tract 209.02, Cook County, Illinois","Census Tract 209.02, Cook County, Illinois",il,140,0,ACSSF,5890,17,31,20902,4474,257,531,755,861,1208,2104,2646,3124,3811,4199,4357,2.48,41578,823,261,562
17031030101,14000US17031030101,"Census Tract 301.01, Cook County, Illinois","Census Tract 301.01, Cook County, Illinois",il,140,0,ACSSF,5891,17,31,30101,3549,61,203,203,297,406,1163,1802,2448,3014,3309,3512,1.66,56875,297,0,297
17031030102,14000US17031030102,"Census Tract 301.02, Cook County, Illinois","Census Tract 301.02, Cook County, Illinois",il,140,0,ACSSF,5892,17,31,30102,2766,53,74,83,105,278,1073,1470,1818,2343,2608,2701,1.49,62125,103,9,94
