,model,tpr,fpr,precision,threshold
0,bagging,1.0,1.0,0.282099248670686,0.0
1,bagging,1.0,1.0,0.282099248670686,0.01
2,bagging,1.0,1.0,0.282099248670686,0.02
3,bagging,1.0,1.0,0.282099248670686,0.05
4,bagging,1.0,1.0,0.282099248670686,0.1
5,bagging,0.9982700832522435,0.9947034498385543,0.28282467300407405,0.2
6,bagging,0.8463978087721195,0.6802101625785986,0.3283880530230997,0.3
7,bagging,0.0,0.0,,0.5
8,bagging,0.0,0.0,,0.6
9,bagging,0.0,0.0,,0.7
10,bagging,0.0,0.0,,0.9
11,bagging,0.0,0.0,,1.0
12,forest,1.0,1.0,0.282099248670686,0.0
13,forest,1.0,1.0,0.282099248670686,0.01
14,forest,1.0,1.0,0.282099248670686,0.02
15,forest,1.0,1.0,0.282099248670686,0.05
16,forest,1.0,1.0,0.282099248670686,0.1
17,forest,0.9999279201355101,0.9998583810117261,0.28211333340112055,0.2
18,forest,0.9313078891411685,0.91318756018807,0.2860954574139477,0.3
19,forest,0.0,0.0,,0.5
20,forest,0.0,0.0,,0.6
21,forest,0.0,0.0,,0.7
22,forest,0.0,0.0,,0.9
23,forest,0.0,0.0,,1.0
24,knn,1.0,1.0,0.282099248670686,0.0
25,knn,0.9532201679460842,0.8997904038973545,0.2939267655720398,0.01
26,knn,0.9532201679460842,0.8997904038973545,0.2939267655720398,0.02
27,knn,0.9532201679460842,0.8997904038973545,0.2939267655720398,0.05
28,knn,0.9532201679460842,0.8997904038973545,0.2939267655720398,0.1
29,knn,0.8156197066349515,0.700065144734606,0.31404029751332146,0.2
30,knn,0.6001369517425307,0.4587888744122812,0.3395041591909966,0.3
31,knn,0.3589216852272318,0.2499858381011726,0.3606895802397595,0.5
32,knn,0.1607380978123761,0.10542117487112672,0.37466397849462363,0.6
33,knn,0.056078134573107,0.032629014898317564,0.40310880829015544,0.7
34,knn,0.0016938768155115868,0.0007505806378519232,0.47,0.9
35,knn,0.0016938768155115868,0.0007505806378519232,0.47,1.0
36,logit,1.0,1.0,0.282099248670686,0.0
37,logit,0.9998918802032652,0.9990511527785646,0.28226963342795225,0.01
38,logit,0.9996035607453058,0.9974366963122415,0.28253893874723685,0.02
39,logit,0.9957112480628536,0.9854132442077834,0.28420944347289373,0.05
40,logit,0.9664107831477277,0.922406956324704,0.29163222691086266,0.1
41,logit,0.8144303888708689,0.6726477086047697,0.3223910407304373,0.2
42,logit,0.5931452048870148,0.4070837817934629,0.36409087892396524,0.3
43,logit,0.19728258910873248,0.10273041409392171,0.4300754242614708,0.5
44,logit,0.09168558763109526,0.043179629524726676,0.45485428213838724,0.6
45,logit,0.03553537319349839,0.015790517192545178,0.46930033317467873,0.7
46,logit,0.00591054888816809,0.003214751033818614,0.4194373401534527,0.9
47,logit,3.603993224492738e-05,2.8323797654789553e-05,0.3333333333333333,1.0
48,tree,1.0,1.0,0.282099248670686,0.0
